15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
15:50:33 : DEBUG | Player 8d87b3b6c3 requesting to move to direction 3
